two_theta_deg,experimental,fitted
0.59999999999999998,26366900,29063200
0.60499999999999998,26577800,29063185.313876964
0.60999999999999999,26666300,29063154.110673126
0.61499999999999999,26847300,29063105.889293004
0.62,26986700,29063040.566633508
0.625,27162700,29062958.181419846
0.63,27242800,29062858.715055417
0.63500000000000001,27451300,29062741.969835334
0.64000000000000001,27578000,29062607.486785486
0.64500000000000002,27701300,29062454.509494904
0.65000000000000002,27797600,29062281.97323871
0.65500000000000003,27963700,29062088.515543211
0.66000000000000003,28057200,29061872.487796787
0.66500000000000004,28191100,29061631.964062531
0.67000000000000004,28274900,29061364.736682463
0.67500000000000004,28431600,29061068.299320769
0.68000000000000005,28491900,29060739.81504235
0.68500000000000005,28630200,29060376.071365077
0.68999999999999995,28636900,29059973.421906814
0.69499999999999995,28796400,29059527.714773379
0.69999999999999996,28839000,29059034.206146177
0.70499999999999996,28919000,29058487.456884593
0.70999999999999996,28918800,29057881.208769348
0.71499999999999997,29026800,29057208.236035656
0.71999999999999997,29018300,29056460.166599315
0.72499999999999998,29056600,29055627.265909474
0.72999999999999998,29001700,29054698.17447478
0.73499999999999999,29063200,29053659.587675717
0.73999999999999999,29051600,29052495.863292836
0.745,28991300,29051188.537988234
0.75,28889300,29049715.728412896
0.755,28885800,29048051.385167222
0.76000000000000001,28726200,29046164.357795756
0.76500000000000001,28635800,29044017.215318516
0.77000000000000002,28458100,29041564.747996524
0.77500000000000002,28321700,29038752.049912512
0.78000000000000003,28110000,29035512.045278817
0.78500000000000003,27895300,29031762.269309517
0.79000000000000004,27557100,29027400.639648791
0.79500000000000004,27318300,29022299.845457934
0.80000000000000004,26938300,29016299.820931371
0.80500000000000005,26543500,29009197.531378705
0.81000000000000005,26072900,29000732.94208657
0.81499999999999995,25641800,28990569.50264322
0.81999999999999995,25056300,28978266.680744193
0.82499999999999996,24487700,28963240.929173034
0.82999999999999996,23757400,28944709.917010244
0.83499999999999996,23090800,28921613.011337958
0.83999999999999997,22269600,28892499.353278339
0.84499999999999997,21426500,28855374.633585773
0.84999999999999998,20469600,28807501.030821387
0.85499999999999998,19586800,28745154.892122459
0.85999999999999999,18534900,28663366.967499975
0.86499999999999999,17522500,28555701.935520012
0.87,16424800,28414174.658200134
0.875,15402200,28229439.156687293
0.88,14323500,27991404.025784761
0.88500000000000001,13345300,27690399.558668736
0.89000000000000001,12357600,27318928.630509585
0.89500000000000002,11552100,26873869.866710145
0.90000000000000002,10800600,26358798.151341408
0.90500000000000003,10202100,25785898.374032367
0.91000000000000003,9729220,25176859.048083007
0.91500000000000004,9454220,24562207.78409753
0.92000000000000004,9318470,23978825.322602451
0.92500000000000004,9400990,23465801.770717923
0.93000000000000005,9616850,23059267.998231255
0.93500000000000005,10032900,22787196.071625881
0.93999999999999995,10606000,22665272.531239178
0.94499999999999995,11284900,22694757.930607341
0.94999999999999996,12094200,22862778.890191536
0.95499999999999996,13011600,23144919.131052654
0.95999999999999996,13950400,23509435.781325717
0.96499999999999997,14948100,23922118.828462705
0.96999999999999997,15954400,24350776.566772468
0.97499999999999998,16979600,24768575.622083411
0.97999999999999998,17968900,25155851.681374636
0.98499999999999999,18894400,25500422.928102009
0.98999999999999999,19764900,25796742.94566863
0.995,20625200,26044379.814973135
1,21383900,26246295.624170963
1.0049999999999999,22046600,26407283.587291561
1.01,22657800,26532759.840002995
1.0149999999999999,23239000,26627962.325198647
1.02,23677300,26697510.092465479
1.0249999999999999,24112300,26745229.415812463
1.03,24384600,26774147.387581166
1.0349999999999999,24678300,26786571.548498761
1.04,24853200,26784200.066264346
1.0449999999999999,24961300,26768230.726314843
1.05,24977100,26739454.262723073
1.0549999999999999,25040200,26698327.972064599
1.0600000000000001,24925400,26645030.737814162
1.0649999999999999,24820200,26579502.51897547
1.0700000000000001,24594900,26501471.611998487
1.075,24385300,26410472.581109047
1.0800000000000001,24063200,26305857.191391185
1.085,23723700,26186800.192883726
1.0900000000000001,23241600,26052301.460374556
1.095,22839200,25901185.796889052
1.1000000000000001,22272800,25732101.644417785
1.105,21720700,25543519.996838365
1.1100000000000001,21032900,25333734.963244576
1.115,20396100,25100867.671754774
1.1200000000000001,19629500,24842875.517810568
1.125,18895100,24557569.121955566
1.1299999999999999,18019600,24242639.73063837
1.135,17188300,23895700.109944064
1.1399999999999999,16282000,23514342.161571294
1.145,15368100,23096214.421501607
1.1499999999999999,14377100,22639122.15073793
1.155,13442900,22141151.750146262
1.1599999999999999,12406900,21600819.596775528
1.165,11442700,21017243.023656033
1.1699999999999999,10430400,20390328.056857489
1.175,9450350,19720964.827567358
1.1799999999999999,8467630,19011217.612078082
1.1850000000000001,7551910,18264492.724302899
1.1899999999999999,6603440,17485664.65884091
1.1950000000000001,5771490,16681139.705280058
1.2,4943740,15858837.428959256
1.2050000000000001,4199920,15028074.434249429
1.21,3507420,14199341.81216302
